algorithm,decision,full17_evidence,repair_or_adaptation,files_changed
SimPO,primary_keep_no_aggressive_change,reward leader; Pareto frontier; stable_or_improving; tail_std=0.0359; best_tail_gap=0.0503,Keep algorithm behavior; add dense eval sampling and expanded final-screening metrics.,configs/algorithms/simpo.yaml; configs/benchmark_mainline_a_final_screening.yaml
PPO,primary_keep_light_stability_tune,Pareto frontier; best latency among top reward methods except TRPO; tail_std=0.164; best_tail_gap=0.2233,"Lower eps_clip 0.20->0.15, ent_coeff 0.01->0.005, lr 3e-4->2e-4; dense metrics.",configs/algorithms/ppo.yaml
TRPO,resource_efficiency_baseline_keep,Pareto frontier; best latency/energy tradeoff; lower reward ceiling.,Tighten max_kl 0.01->0.008; dense metrics; keep as resource-efficiency baseline.,configs/algorithms/trpo.yaml
GRPO,stable_low_ceiling_reference,stable_but_low_ceiling; Pareto due low energy but reward below top group.,No aggressive algorithm change; keep as stable reference with dense metrics.,configs/algorithms/grpo.yaml
DDPG,primary_keep_targeted_exploration_tune,second reward tier; stable_or_improving but Pareto-dominated; oscillating conv_status; tail_std=0.0278.,"Expose OU noise config; lower ou_sigma 0.20->0.12, theta 0.15->0.20, start/explore_steps 10000->15000, lr 3e-4->2.5e-4.",rl_algorithms/ddpg.py; scripts/benchmark.py; configs/algorithms/ddpg.yaml
TD3,primary_repair_late_drop,mostly_good_with_single_late_drop; reward near top but tail_std=7.109 and best_tail_gap=5.7502.,"Replace hard-coded behavior noise 0.3 with configurable exploration_noise_std; set target/behavior noise 0.12, noise_clip 0.25, lr 2e-4, warmup 15000.",rl_algorithms/td3.py; scripts/benchmark.py; configs/algorithms/td3.yaml
DDQN,targeted_repair_then_screen,early_peak_then_degraded; final reward -13.00; best_tail_gap=7.116; not mechanism-frozen because discrete single-agent may still screen.,"Benchmark now reads exploration epsilon config; slower epsilon_decay 50000->120000, epsilon_end 0.05->0.08, lr 2e-4, start_steps 5000.",scripts/benchmark.py; configs/algorithms/ddqn.yaml
MAPPO,targeted_repair_multi_agent_screen,regressed_or_bad_plateau but N1 oracle supports game-aware/primal-dual multi-agent direction; MAPPO oracle gap 0.165 vs baseline 1.4303.,"Lower eps_clip 0.20->0.12, ent_coeff 0.01->0.005, lr 1.5e-4, epochs 8, warm_start_steps 2000, warm_start_lr_scale 0.4.",configs/algorithms/mappo.yaml
COMA,targeted_repair_multi_agent_screen,moderate_but_drifting_down; not catastrophic; worth one final conservative on-policy repair.,"Lower lr 2e-4, num_epochs 6, warm_start_steps 2000, dense metrics.",configs/algorithms/coma.yaml
MADDPG,targeted_repair_multi_agent_screen,outlier_then_partial_recovery; high energy and deadline miss; not stable enough for primary.,"Lower lr 2e-4, batch_size 512, warm_start_steps 2000; continuous adapter batch-action fix applies.",configs/algorithms/maddpg.yaml; src/environments/mec_v3/game_theory_adapters.py
MATD3,targeted_repair_multi_agent_screen,regressed_or_bad_plateau; final reward -15.17; continuous multi-agent interface now fixed.,"Lower noise_std 0.20->0.12, policy_delay 3, lr 2e-4, warm_start_steps 2000; continuous adapter batch-action fix applies.",configs/algorithms/matd3.yaml; src/environments/mec_v3/game_theory_adapters.py
IPPO,diagnostic_only_freeze,catastrophic_outlier_or_severe_instability; severe independent policy instability in Mainline-A coupling.,Do not spend final tuning budget; leave out of default screening config.,configs/benchmark_mainline_a_final_screening.yaml
QMIX,mechanism_mismatch_freeze,catastrophic_outlier_or_severe_instability; value-decomposition monotonicity mismatches coupled resource/pricing/fairness reward.,Do not tune; exclude from default final screening.,configs/benchmark_mainline_a_final_screening.yaml
VDN,mechanism_mismatch_freeze,"catastrophic_outlier_or_severe_instability; final reward -65.94, high energy 6.62.",Do not tune; exclude from default final screening.,configs/benchmark_mainline_a_final_screening.yaml
IQL,mechanism_mismatch_freeze,"worst catastrophic instability; reward -816.32, energy 44.47.",Do not tune; independent Q-learning fundamentally mismatches non-stationary coupled multi-agent Mainline-A dynamics.,configs/benchmark_mainline_a_final_screening.yaml
SAC,no_roi_freeze,regressed_or_bad_plateau; poor reward -33.68 and latency 1.013 with 13.4% deadline miss.,No final tuning; exclude from default screening.,configs/benchmark_mainline_a_final_screening.yaml
A3C,no_roi_freeze,regressed_or_bad_plateau; final reward -26.82 and deadline miss 5.3%.,No final tuning; exclude from default screening.,configs/benchmark_mainline_a_final_screening.yaml
